Frequency (Hz),Channel 2 Magnitude (dB)
2,0.08865921118505196
2.126653143274323,0.1020146090379407
2.261326795899278,0.1171123442631928
2.404528869234826,0.1336545237599288
2.556799438926046,0.1535455587782452
2.718712781757051,0.1752659406977713
2.890879541491856,0.1996540275070099
3.073949031870542,0.2275513150445552
3.268611685446275,0.2580693219826158
3.475601657498752,0.2927238677998988
3.695699594844581,0.3310288346609259
3.929735579986936,0.3748204650136808
4.178592261708078,0.4250422383721302
4.443208183911623,0.4813076700393225
4.724581325268925,0.5402426469066888
5.023772863019159,0.6008357490725196
5.341911175117971,0.6633215400013206
5.680196095828427,0.728111845561613
6.039903440804031,0.7960979309562102
6.422389818729648,0.8672771571576807
6.829097747667202,0.9415290518529712
7.261561095402028,1.018192477966959
7.72141086430763,1.097468107518012
8.210381342546157,1.180043810580455
8.730316644803322,1.264216812201672
9.283177667225555,1.349588191160405
9.871049482789614,1.434955661295288
10.49614920499545,1.526778457682328
11.16083434953993,1.639901709069284
11.86761172550656,1.778501587930478
12.61914688960386,1.932052847379318
13.41827419910822,2.10724397542106
14.26800750142513,2.326073146984092
15.17155150058367,2.606522319351973
16.13231384353227,2.958399388954404
17.15391797181789,3.383625460231829
18.24021678711819,3.88953640904605
19.39530718216499,4.485078705364764
20.62354549186112,5.181013786826389
21.9295639228637,5.979761461484236
23.31828802359663,6.85918573641061
24.79495526057888,7.726909173484544
26.36513477112815,8.350000546997439
28.03474836693539,8.343355545407629
29.81009286772392,7.429764090082283
31.69786384922228,5.775894326235562
33.70518089501502,3.776072273248408
35.83961444750668,1.710715776848677
38.10921435926496,-0.3030468559015727
40.52254025242286,-2.232263161884896
43.08869380063764,-4.081819494334741
45.81735305535549,-5.870852345076376
48.71880894584054,-7.624479151416556
51.80400409062645,-9.387226060133703
55.08457406676332,-11.23040732250166
58.57289129250475,-13.50099041442216
62.28211168893516,-17.36295420509404
66.22622429651821,-19.66498568411273
70.42010403369042,-21.43460190672517
74.87956779647621,-22.95627609843233
79.62143411069947,-24.3377610350879
84.66358656176422,-25.5992237322911
90.02504124122673,-26.80773696998841
95.7260184645276,-27.96186630383761
101.7880190303619,-29.07083743876989
108.2339053092928,-30.14148546911119
115.0879874674313,-31.21255678033212
122.3761151503644,-32.26240714171507
130.1257749731115,-33.29980748490116
138.3661941837873,-34.3263222073156
147.1284508919283,-35.33762043372997
156.4455912772006,-36.35044339014187
166.3527542205342,-37.3604937415267
176.88730382772,-38.32588282625511
188.0889703452705,-39.29023755396711
200,-40.24982811087769
212.6653143274323,-41.18367409380636
226.1326795899277,-42.23106117733604
240.4528869234826,-43.13339267105662
255.6799438926046,-44.15698447490952
271.8712781757051,-45.1515500818069
289.0879541491856,-46.15687626880871
307.3949031870542,-47.1042869993989
326.8611685446275,-48.21359957805326
347.5601657498752,-49.19312061696378
369.5699594844581,-50.16573174263275
392.9735579986936,-51.19226386862272
417.8592261708077,-52.12495384726681
444.3208183911623,-53.25081014802889
472.4581325268925,-54.08567974600697
502.3772863019159,-55.23238308311112
534.1911175117971,-56.28956453167184
568.0196095828428,-57.4017251136829
603.9903440804032,-58.18253595884421
642.2389818729647,-59.20201319148931
682.9097747667201,-59.96082707827588
726.1561095402028,-61.38551267073977
772.1410864307622,-62.47117490131272
821.0381342546157,-63.22552831140938
873.0316644803322,-63.93069412723848
928.3177667225555,-65.46801134662836
987.1049482789613,-66.02496506374861
1049.614920499546,-66.78443554942706
1116.083434953993,-68.27499196964136
1186.761172550656,-69.25084816341624
1261.914688960386,-70.64022394184958
1341.827419910822,-71.78590892287235
1426.800750142513,-72.10750776695703
1517.155150058367,-74.04704530517974
1613.231384353227,-73.85382515732077
1715.391797181788,-74.6715109447745
1824.021678711819,-75.3676649702261
1939.530718216499,-77.98982082246033
2062.35454918611,-77.69968854151985
2192.95639228637,-81.05787607986665
2331.828802359665,-79.56092137903241
2479.495526057888,-80.84635773488014
2636.513477112815,-79.19266633152567
2803.474836693539,-79.41057515106407
2981.009286772392,-84.30373921360237
3169.786384922229,-81.35634457278351
3370.518089501502,-85.72512393803366
3583.961444750668,-85.21122572722646
3810.921435926492,-87.35792066433831
4052.254025242287,-86.05270104462157
4308.869380063769,-92.79129867418294
4581.735305535545,-91.82229214825114
4871.880894584054,-93.53368849414761
5180.400409062651,-84.18426396604191
5508.457406676333,-93.89532332142734
5857.289129250475,-90.47745633657898
6228.211168893517,-87.27065533832631
6622.622429651822,-89.2177411540801
7042.010403369042,-81.90273719870005
7487.956779647621,-86.84102687120897
7962.143411069947,-81.82329128244048
8466.358656176413,-89.54017463224338
9002.504124122674,-85.24631468318388
9572.601846452771,-92.28382599487888
10178.80190303618,-89.64883668885801
10823.39053092927,-91.69938634235402
11508.79874674313,-90.24416837075557
12237.61151503644,-88.81168872955057
13012.57749731115,-86.69848197465974
13836.61941837873,-82.33865704034331
14712.84508919283,-91.78661330092469
15644.55912772006,-85.88891768209542
16635.27542205342,-83.17911519121127
17688.730382772,-93.12728031718302
18808.89703452703,-83.01854745259971
20000,-88.55296605009804
